id,name
A,Antoinette Westphal College of Media Arts & Design
AS,College of Arts and Sciences
B,LeBow College of Business
C,Close School of Entrepreneurship
CI,Computing and Informatics
CV,Center for Civic Engagement
E,College of Engineering
GC,Goodwin College of Professional Studies
L,Thomas R. Kline School of Law
NH,College of Nursing & Health Professions
PE,Pennoni Honors College
PH,Dornsife School of Public Health
R,"School of Biomedical Engineering, Science & Health Systems"
T,School of Education
X,University Courses
